biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 507a32 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 80b497 60a17b
biome 41 ffffff 73c158 50b02f
biome 42 ffffff 80b497 60a17b
biome 43 ffffff 47cd33 1abf00
biome 44 24b01c 59c93c 30bb0b
biome 45 ffffff bfb755 aea42a
biome 46 ffffff bfb755 aea42a
biome 47 ffffff 80b497 60a17b
biome 48 ffffff 8ab978 6da655
biome 49 ffffff 47cd33 1abf00
biome 50 184220 314d31 314d31
biome 51 1b3944 314d31 314d31
biome 52 1b3944 314d31 314d31
biome 53 184220 314d31 314d31
biome 54 485e18 314d31 314d31
biome 55 485e18 314d31 314d31
biome 56 3a2f0b 314d31 314d31
biome 57 ffffff 80b497 60a17b
biome 58 f08000 bfb755 aea42a
biome 59 ffffff 47cd33 1abf00
biome 60 ffffff 80b497 60a17b
biome 61 ffffff b2b952 9fa726
biome 62 ffffff 88b977 6aa755
biome 63 ffffff 59c93c 30bb0b
biome 64 ffffff 61c64b 3bb61e
biome 65 ffffff 88b977 6aa755
biome 66 ffffff 80b497 60a17b
biome 67 ffffff 79c05a 59ae30
biome 68 ffffff 70c15b 4cb031
biome 69 ffffff 8eb971 71a74d
biome 70 ffffff 79c05a 59ae30
biome 71 ffffff 88b977 6aa755
biome 72 ffffff 72c250 4eb224
biome 73 e0ffae 5c694e 496137
biome 74 ffffff 7cbd6b 5bab46
biome 75 ffffff 84b68d 65a371
biome 76 ffffff 80b497 60a17b
biome 77 ffffff 91bd59 77ab2f
biome 78 ffffff b9b75b a6a432
biome 79 ffffff 7cbd6b 5bab46
biome 80 ffffff 61c64b 3bb61e
biome 81 ffffff 554114 e94e14
biome 82 ffffff 90b682 74a362
biome 83 ffffff 4b6754 3b5e3f
biome 84 ffffff 8eb93f 71a73f
biome 85 6c2c2c 572e23 64260f
biome 86 ffffff 90b682 74a362
biome 90 ffffff 93b683 78a363
biome 91 8888ff 7777ff 55ffe1
biome 92 ffffff b9b75b a6a432
biome 93 ffffff bfb755 aea42a
biome 94 ffffff 202020 37b812
biome 95 ffffff 85b590 67a273
biome 96 e0ffae 6a7039 6a7039
biome 97 ffffff 8eb971 71a74d
biome 98 ffffff 8eb971 71a74d
biome 99 ffffff 47cd33 1abf00
biome 100 ffffff 47cd33 1abf00
biome 101 ffffff bfb755 aea42a
biome 102 ffffff 8ab978 6da655
biome 103 ffffff 80b497 60a17b
biome 104 ffffff 80b497 60a17b
biome 105 ffffff 7abe62 59ad3b
biome 126 ffffff 8eb971 71a74d
biome 127 ffffff bfb755 aea42a
biome 129 ffffff 91bd59 77ab2f
biome 130 ffffff bfb755 aea42a
